Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mapki_sensitivity,mapki_treatment,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR1768942,RNA-Seq,200,7288199000,PRJNA273359,SAMN03290933,3380139035,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849833,GSM1588907,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588907,tumor biopsy,SRP052740
SRR1768944,RNA-Seq,200,8063104600,PRJNA273359,SAMN03290953,3742136298,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849834,GSM1588908,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588908,tumor biopsy,SRP052740
SRR1768945,RNA-Seq,200,8154344600,PRJNA273359,SAMN03290941,3779743225,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849835,GSM1588909,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588909,tumor biopsy,SRP052740
SRR1768947,RNA-Seq,200,7246176400,PRJNA273359,SAMN03290926,3152733453,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849836,GSM1588910,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588910,tumor biopsy,SRP052740
SRR1768948,RNA-Seq,200,7277830600,PRJNA273359,SAMN03290926,3181899231,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849836,GSM1588910,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588910,tumor biopsy,SRP052740
SRR1768950,RNA-Seq,200,4203120400,PRJNA273359,SAMN03290945,1907854579,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849838,GSM1588912,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588912,tumor biopsy,SRP052740
SRR1768952,RNA-Seq,200,3357650400,PRJNA273359,SAMN03290938,1527661603,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849839,GSM1588913,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588913,tumor biopsy,SRP052740
SRR1768954,RNA-Seq,200,4302424800,PRJNA273359,SAMN03290952,3040432098,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849840,GSM1588914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588914,Melanoma cell line,SRP052740
SRR1768956,RNA-Seq,200,4321359600,PRJNA273359,SAMN03290952,3068637051,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849840,GSM1588914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588914,Melanoma cell line,SRP052740
SRR1768958,RNA-Seq,200,3677642600,PRJNA273359,SAMN03290952,2600227282,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849840,GSM1588914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588914,Melanoma cell line,SRP052740
SRR1768960,RNA-Seq,200,3699940800,PRJNA273359,SAMN03290952,2628669324,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849840,GSM1588914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588914,Melanoma cell line,SRP052740
SRR1768962,RNA-Seq,200,2603733000,PRJNA273359,SAMN03290954,1841348426,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849841,GSM1588915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588915,Melanoma cell line,SRP052740
SRR1768964,RNA-Seq,200,2624951400,PRJNA273359,SAMN03290954,1894629358,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849841,GSM1588915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588915,Melanoma cell line,SRP052740
SRR1768966,RNA-Seq,200,4838684600,PRJNA273359,SAMN03290954,3419898613,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849841,GSM1588915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588915,Melanoma cell line,SRP052740
SRR1768968,RNA-Seq,200,4875220200,PRJNA273359,SAMN03290954,3513530680,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849841,GSM1588915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588915,Melanoma cell line,SRP052740
SRR1768970,RNA-Seq,200,2538625400,PRJNA273359,SAMN03290944,1183173380,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849842,GSM1588916,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588916,Melanoma cell line,SRP052740
SRR1768971,RNA-Seq,200,2499494400,PRJNA273359,SAMN03290944,1172039277,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849842,GSM1588916,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588916,Melanoma cell line,SRP052740
SRR1768972,RNA-Seq,200,4214434400,PRJNA273359,SAMN03290951,2816236956,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849843,GSM1588917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588917,Melanoma cell line,SRP052740
SRR1768974,RNA-Seq,200,4267700800,PRJNA273359,SAMN03290951,2854488885,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849843,GSM1588917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588917,Melanoma cell line,SRP052740
SRR1768977,RNA-Seq,200,4707693200,PRJNA273359,SAMN03290951,3157336518,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849843,GSM1588917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588917,Melanoma cell line,SRP052740
SRR1768979,RNA-Seq,200,3723159000,PRJNA273359,SAMN03290932,2502439651,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849844,GSM1588918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588918,Melanoma cell line,SRP052740
SRR1768981,RNA-Seq,200,4745024600,PRJNA273359,SAMN03290932,3176261720,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849844,GSM1588918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588918,Melanoma cell line,SRP052740
SRR1768983,RNA-Seq,200,4815930200,PRJNA273359,SAMN03290932,3226994345,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849844,GSM1588918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588918,Melanoma cell line,SRP052740
SRR1768985,RNA-Seq,200,2485784000,PRJNA273359,SAMN03290948,1166270877,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849845,GSM1588919,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588919,Melanoma cell line,SRP052740
SRR1768987,RNA-Seq,200,2035526200,PRJNA273359,SAMN03290936,953801047,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849846,GSM1588920,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588920,Melanoma cell line,SRP052740
SRR1768989,RNA-Seq,200,3212512000,PRJNA273359,SAMN03290929,1507095533,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849847,GSM1588921,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588921,Melanoma cell line,SRP052740
SRR1768822,RNA-Seq,200,7933887400,PRJNA273359,SAMN03290916,3741825903,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849782,GSM1588852,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588852,tumor biopsy,SRP052740
SRR1768823,RNA-Seq,200,7508986800,PRJNA273359,SAMN03290898,3541765110,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849783,GSM1588853,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588853,tumor biopsy,SRP052740
SRR1768826,RNA-Seq,200,8595371200,PRJNA273359,SAMN03290899,4063298388,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849784,GSM1588854,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588854,tumor biopsy,SRP052740
SRR1768828,RNA-Seq,200,9877063800,PRJNA273359,SAMN03290913,4675775984,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849785,GSM1588855,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588855,tumor biopsy,SRP052740
SRR1768830,RNA-Seq,200,8631922200,PRJNA273359,SAMN03290889,4076588707,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849786,GSM1588856,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588856,tumor biopsy,SRP052740
SRR1768832,RNA-Seq,200,7505555000,PRJNA273359,SAMN03290890,3328925883,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849787,GSM1588857,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588857,tumor biopsy,SRP052740
SRR1768835,RNA-Seq,200,8759963600,PRJNA273359,SAMN03290908,4196823755,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849788,GSM1588858,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588858,tumor biopsy,SRP052740
SRR1768837,RNA-Seq,200,7188942200,PRJNA273359,SAMN03290909,3196092341,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849789,GSM1588859,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588859,tumor biopsy,SRP052740
SRR1768839,RNA-Seq,200,11785317400,PRJNA273359,SAMN03290920,5228322949,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849790,GSM1588860,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588860,tumor biopsy,SRP052740
SRR1768840,RNA-Seq,200,8206574600,PRJNA273359,SAMN03290894,3885750552,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849791,GSM1588861,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588861,tumor biopsy,SRP052740
SRR1768842,RNA-Seq,200,7366363800,PRJNA273359,SAMN03290911,3444904506,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849792,GSM1588862,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588862,tumor biopsy,SRP052740
SRR1768843,RNA-Seq,200,7599379600,PRJNA273359,SAMN03290911,3575320914,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849792,GSM1588862,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588862,tumor biopsy,SRP052740
SRR1768845,RNA-Seq,200,6065244000,PRJNA273359,SAMN03290910,2647116566,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849793,GSM1588863,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588863,tumor biopsy,SRP052740
SRR1768848,RNA-Seq,200,7285231400,PRJNA273359,SAMN03290915,3178195053,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849795,GSM1588865,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588865,tumor biopsy,SRP052740
SRR1768850,RNA-Seq,200,7983975800,PRJNA273359,SAMN03290888,3462044121,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849796,GSM1588866,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588866,tumor biopsy,SRP052740
SRR1768851,RNA-Seq,200,7942082600,PRJNA273359,SAMN03290888,3461769673,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849796,GSM1588866,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588866,tumor biopsy,SRP052740
SRR1768853,RNA-Seq,200,3826506400,PRJNA273359,SAMN03290906,1826609911,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849797,GSM1588867,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588867,tumor biopsy,SRP052740
SRR1768854,RNA-Seq,200,4866553000,PRJNA273359,SAMN03290906,2347734605,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849797,GSM1588867,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588867,tumor biopsy,SRP052740
SRR1768857,RNA-Seq,200,3717359600,PRJNA273359,SAMN03290921,1805472505,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849798,GSM1588868,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588868,tumor biopsy,SRP052740
SRR1768859,RNA-Seq,200,2508877800,PRJNA273359,SAMN03290885,1203438820,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849799,GSM1588869,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588869,tumor biopsy,SRP052740
SRR1768861,RNA-Seq,200,12229240000,PRJNA273359,SAMN03290895,5708208211,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849800,GSM1588870,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588870,tumor biopsy,SRP052740
SRR1768864,RNA-Seq,200,9036249200,PRJNA273359,SAMN03290900,4238813812,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849801,GSM1588871,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588871,tumor biopsy,SRP052740
SRR1768866,RNA-Seq,200,8035836000,PRJNA273359,SAMN03290903,3772349552,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849802,GSM1588872,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588872,tumor biopsy,SRP052740
SRR1768868,RNA-Seq,200,7293995400,PRJNA273359,SAMN03290891,3420653252,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849803,GSM1588873,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588873,tumor biopsy,SRP052740
SRR1768870,RNA-Seq,200,7090840800,PRJNA273359,SAMN03290896,3271132540,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849804,GSM1588874,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588874,tumor biopsy,SRP052740
SRR1768872,RNA-Seq,200,6622828400,PRJNA273359,SAMN03290912,3065249478,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849805,GSM1588875,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588875,tumor biopsy,SRP052740
SRR1768873,RNA-Seq,200,7835631200,PRJNA273359,SAMN03290918,3614764046,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849806,GSM1588876,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588876,tumor biopsy,SRP052740
SRR1768875,RNA-Seq,200,7668544800,PRJNA273359,SAMN03290893,3599997768,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849807,GSM1588877,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588877,tumor biopsy,SRP052740
SRR1768876,RNA-Seq,200,7846829800,PRJNA273359,SAMN03290893,3705642807,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849807,GSM1588877,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588877,tumor biopsy,SRP052740
SRR1768879,RNA-Seq,200,7912310400,PRJNA273359,SAMN03290892,3629313666,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849809,GSM1588879,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588879,tumor biopsy,SRP052740
SRR1768882,RNA-Seq,200,4266894000,PRJNA273359,SAMN03290905,1982741214,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849810,GSM1588880,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588880,tumor biopsy,SRP052740
SRR1768884,RNA-Seq,200,6866217400,PRJNA273359,SAMN03290901,3170284435,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849811,GSM1588881,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588881,tumor biopsy,SRP052740
SRR1768886,RNA-Seq,200,4514074200,PRJNA273359,SAMN03290902,2103205606,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849812,GSM1588882,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588882,tumor biopsy,SRP052740
SRR1768890,RNA-Seq,200,3638087200,PRJNA273359,SAMN03290904,1683794571,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849778,GSM1588884,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588884,tumor biopsy,SRP052740
SRR1768892,RNA-Seq,200,4880024000,PRJNA273359,SAMN03290897,2267876285,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849779,GSM1588885,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588885,tumor biopsy,SRP052740
SRR1768893,RNA-Seq,200,5227637000,PRJNA273359,SAMN03290887,2431260070,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849780,GSM1588886,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588886,tumor biopsy,SRP052740
SRR1768895,RNA-Seq,200,5451221800,PRJNA273359,SAMN03290914,2530049925,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849781,GSM1588887,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588887,tumor biopsy,SRP052740
SRR1768897,RNA-Seq,200,7194775000,PRJNA273359,SAMN03290917,3348238052,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849814,GSM1588888,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588888,tumor biopsy,SRP052740
SRR1768899,RNA-Seq,200,8971755000,PRJNA273359,SAMN03290886,4026500684,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849815,GSM1588889,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588889,tumor biopsy,SRP052740
SRR1768902,RNA-Seq,200,3622289000,PRJNA273359,SAMN03290924,1690713160,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849816,GSM1588890,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588890,tumor biopsy,SRP052740
SRR1768905,RNA-Seq,200,3827913800,PRJNA273359,SAMN03290939,1790789646,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849817,GSM1588891,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588891,tumor biopsy,SRP052740
SRR1768919,RNA-Seq,200,5542461000,PRJNA273359,SAMN03290950,2516233970,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849823,GSM1588897,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588897,tumor biopsy,SRP052740
